item_id,order_id,product_id,quantity,unit_price
1,100001,P022,2,28.6
2,100001,P005,5,110.03
3,100002,P012,7,281.74
4,100003,P008,1,250.43
5,100003,P002,7,226.6
6,100003,P012,9,34.47
7,100004,P018,3,57.05
8,100004,P025,4,294.59
9,100005,P002,3,176.47
10,100005,P005,2,87.15
11,100005,P016,6,39.87
12,100005,P014,4,282.1
13,100005,P016,3,239.1
14,100006,P005,10,35.15
15,100007,P024,4,182.45
16,100007,P019,1,178.34
17,100008,P020,6,187.92
18,100008,P003,4,11.94
19,100008,P019,9,163.87
20,100008,P025,6,131.74
21,100009,P005,8,71.44
22,100009,P013,5,228.77
23,100009,P015,8,284.77
24,100009,P013,3,79.8
25,100009,P014,6,66.47
26,100010,P007,2,37.3
27,100011,P010,4,83.11
28,100011,P003,5,96.94
29,100011,P005,5,145.66
30,100011,P009,3,132.77
31,100011,P012,3,172.6
32,100012,P020,1,59.07
33,100012,P009,2,28.07
34,100012,P017,10,118.54
35,100012,P023,4,148.62
36,100013,P010,9,100.32
37,100013,P006,2,230.38
38,100015,P002,1,258.12
39,100015,P025,1,242.62
40,100015,P018,4,177.4
41,100015,P018,1,221.56
42,100016,P003,2,285.5
43,100017,P021,8,239.6
44,100017,P010,1,81.4
45,100017,P011,4,79.8
46,100017,P022,3,52.72
47,100017,P014,3,93.24
48,100018,P006,5,92.63
49,100018,P021,1,203.09
50,100019,P007,7,94.86
51,100019,P020,3,177.47
52,100020,P011,8,63.77
53,100020,P010,3,233.8
54,100021,P003,9,117.2
55,100021,P025,5,106.47
56,100021,P010,7,219.18
57,100021,P002,4,100.24
58,100022,P012,9,108.19
59,100022,P019,9,178.91
60,100022,P002,5,69.82
61,100022,P022,5,280.2
62,100022,P019,9,108.08
63,100023,P020,2,228.86
64,100023,P003,1,70.81
65,100023,P007,2,47.74
66,100024,P025,8,130.9
67,100024,P012,10,283.95
68,100025,P022,1,34.47
69,100025,P021,9,200.36
70,100025,P008,2,69.45
71,100025,P011,3,279.93
72,100026,P002,5,271.34
73,100026,P025,9,263.04
74,100026,P021,2,163.83
75,100026,P012,5,80.45
76,100026,P008,9,262.37
77,100027,P013,6,125.68
78,100028,P003,4,97.79
79,100028,P013,4,50.92
80,100028,P020,7,292.85
81,100028,P014,5,174.03
82,100028,P010,6,132.12
83,100029,P005,5,9.46
84,100029,P017,8,111.84
85,100029,P005,10,113.62
86,100029,P006,10,200.05
87,100029,P016,3,270.37
88,100030,P012,3,59.99
89,100030,P020,7,197.0
90,100030,P005,1,105.31
91,100030,P003,1,44.91
92,100031,P010,6,18.49
93,100032,P005,3,47.99
94,100032,P017,10,99.64
95,100032,P003,6,151.01
96,100032,P017,8,247.62
97,100032,P002,4,299.49
98,100033,P016,7,297.07
99,100033,P001,8,204.36
100,100033,P007,7,135.46
101,100033,P005,1,168.85
102,100033,P015,10,264.86
103,100034,P022,6,124.22
104,100034,P003,6,59.96
105,100034,P005,4,287.41
106,100034,P009,10,292.26
107,100034,P002,4,277.78
108,100035,P005,10,115.93
109,100035,P008,5,121.95
110,100035,P018,8,256.91
111,100036,P010,10,104.93
112,100036,P017,7,163.19
113,100036,P024,10,6.55
114,100036,P017,1,274.75
115,100037,P006,10,10.82
116,100037,P010,2,218.75
117,100037,P012,6,285.5
118,100037,P011,4,251.3
119,100037,P003,6,189.79
120,100039,P011,1,13.31
121,100039,P007,10,19.98
122,100039,P015,8,277.14
123,100040,P006,9,143.76
124,100040,P007,4,288.59
125,100040,P004,6,252.27
126,100040,P017,7,233.06
127,100041,P023,3,260.78
128,100041,P012,7,159.8
129,100042,P008,7,288.11
130,100042,P017,9,207.04
131,100042,P008,9,120.69
132,100042,P004,8,280.08
133,100043,P999,5,35.94
134,100043,P015,2,293.15
135,100043,P017,7,157.53
136,100044,P012,4,26.24
137,100044,P004,5,266.32
138,100044,P014,4,137.17
139,100044,P015,9,79.6
140,100044,P024,7,65.27
141,100045,P003,8,22.94
142,100045,P025,8,34.17
143,100045,P020,2,80.83
144,100046,P011,10,286.61
145,100046,P005,10,69.96
146,100046,P023,1,47.77
147,100046,P004,2,88.98
148,100047,P012,3,127.76
149,100047,P007,4,161.9
150,100047,P016,1,57.98
151,100047,P015,5,46.45
152,100047,P002,10,223.0
153,100048,P020,2,294.94
154,100048,P016,6,92.76
155,100048,P020,1,15.2
156,100049,P006,6,193.83
157,100049,P021,1,260.25
158,100050,P022,3,43.78
159,100050,P024,4,5.64
160,100050,P017,4,257.46
161,100050,P003,7,252.96
162,100050,P005,5,219.57
163,100051,P021,8,274.65
164,100051,P018,2,200.76
165,100051,P006,2,60.7
166,100051,P001,1,248.66
167,100052,P020,6,59.57
168,100052,P022,2,28.55
169,100052,P001,2,258.35
170,100052,P002,1,298.02
171,100052,P002,7,52.36
172,100053,P016,2,166.02
173,100054,P017,4,178.86
174,100054,P009,5,281.52
175,100055,P025,2,221.32
176,100055,P022,2,152.31
177,100057,P004,3,219.99
178,100057,P012,6,197.17
179,100057,P001,3,145.93
180,100057,P009,7,265.22
181,100058,P002,2,205.11
182,100058,P003,7,272.52
183,100059,P009,1,263.29
184,100060,P011,9,104.53
185,100060,P001,5,206.45
186,100060,P023,5,42.49
187,100060,P004,10,115.72
188,100061,P011,8,77.99
189,100061,P999,9,14.8
190,100061,P020,4,243.91
191,100062,P006,4,227.1
192,100062,P015,1,134.64
193,100063,P012,5,65.09
194,100063,P012,2,209.5
195,100063,P004,6,61.68
196,100063,P003,2,205.11
197,100063,P025,3,278.01
198,100064,P020,1,78.66
199,100064,P017,4,144.39
200,100064,P004,9,124.25
201,100065,P010,2,232.18
202,100065,P006,2,266.68
203,100065,P013,10,41.17
204,100065,P021,2,6.34
205,100065,P005,7,219.02
206,100066,P014,10,258.73
207,100066,P017,5,12.44
208,100066,P007,4,35.91
209,100066,P007,5,210.17
210,100067,P012,10,135.3
211,100067,P011,8,134.74
212,100067,P015,6,36.63
213,100067,P017,7,174.69
214,100067,P005,5,49.56
215,100068,P008,9,36.51
216,100068,P004,9,100.96
217,100068,P014,10,5.58
218,100068,P021,7,191.22
219,100069,P002,7,181.73
220,100069,P010,5,156.15
221,100070,P012,8,47.86
222,100071,P002,9,24.9
223,100071,P015,4,75.34
224,100072,P016,3,34.06
225,100072,P019,10,186.62
226,100073,P008,4,186.29
227,100073,P013,3,172.84
228,100073,P004,9,283.8
229,100073,P018,8,78.86
230,100074,P010,10,72.51
231,100074,P022,8,166.94
232,100075,P020,9,290.79
233,100075,P014,6,213.71
234,100076,P016,6,22.93
235,100076,P024,3,89.6
236,100076,P005,8,283.87
237,100076,P024,6,257.57
238,100076,P021,3,243.55
239,100077,P002,4,217.48
240,100078,P017,10,217.55
241,100078,P019,4,132.48
242,100078,P023,4,226.87
243,100078,P006,9,14.38
244,100079,P015,3,210.33
245,100079,P019,5,84.31
246,100079,P003,1,114.22
247,100079,P004,8,49.16
248,100080,P007,7,269.1
249,100081,P014,3,195.44
250,100081,P009,5,287.42
251,100082,P019,7,176.53
252,100082,P012,2,8.99
253,100082,P008,6,179.29
254,100082,P022,6,107.44
255,100083,P015,8,283.96
256,100083,P022,2,156.6
257,100083,P001,6,15.7
258,100084,P022,4,98.37
259,100084,P022,8,79.35
260,100084,P009,10,63.76
261,100084,P015,8,51.57
262,100086,P012,4,183.76
263,100087,P021,5,244.9
264,100087,P018,9,93.4
265,100089,P005,1,165.7
266,100089,P016,7,23.44
267,100090,P003,2,208.34
268,100090,P017,4,243.91
269,100091,P022,6,212.7
270,100091,P007,6,86.73
271,100091,P016,2,210.08
272,100091,P018,4,89.02
273,100091,P009,6,227.48
274,100092,P015,5,236.0
275,100092,P024,2,288.54
276,100092,P004,8,166.36
277,100092,P008,6,223.24
278,100092,P011,7,20.3
279,100093,P008,1,94.88
280,100093,P024,4,219.82
281,100094,P018,4,74.17
282,100094,P022,4,158.76
283,100094,P008,9,101.31
284,100094,P018,10,52.67
285,100094,P020,10,208.77
286,100095,P017,6,163.19
287,100095,P011,6,24.73
288,100095,P009,3,123.99
289,100095,P006,1,141.46
