order_id,customer_id,order_date,status,total_amount
100001,1024,2025-07-24,cancelled,607.35
100002,1028,2023-11-13,pending,1972.18
100003,1045,2024-06-26,shipped,2146.86
100004,1045,2023-06-14,refunded,1349.51
100005,1048,2025-12-28,completed,2788.63
100006,1008,2025-09-26,completed,351.5
100007,1014,2024-04-25,cancelled,908.14
100008,1021,2024-04-10,completed,3440.55
100009,1022,2023-07-21,cancelled,4631.75
100010,1002,2023-07-25,completed,74.6
100011,1026,2023-03-01,completed,2461.55
100012,1046,2024-08-23,completed,1895.09
100013,1007,2024-05-15,pending,1363.64
100015,1034,2024-01-04,completed,1431.9
100016,1013,2025-02-22,cancelled,571.0
100017,1038,2023-10-21,pending,2755.28
100018,1040,2025-07-30,cancelled,666.24
100019,1042,2025-08-10,cancelled,1196.43
100020,1002,2023-06-01,completed,1211.56
100021,1014,2024-09-04,pending,3522.37
100022,1043,2025-07-24,completed,5306.72
100023,1030,2025-09-16,completed,624.01
100024,1010,2025-01-05,completed,3886.7
100025,1025,2024-08-27,refunded,2816.4
100026,1024,2024-07-16,shipped,6815.3
100027,1012,2023-04-11,cancelled,754.08
100028,1023,2024-08-09,refunded,4307.66
100029,1038,2024-12-22,cancelled,4889.83
100030,1017,2024-05-28,refunded,1709.19
100031,1014,2023-10-08,completed,110.94
100032,1043,2023-03-22,refunded,5225.35
100033,1020,2025-01-17,completed,7480.04
100034,1044,2024-08-27,cancelled,6288.44
100035,1032,2024-02-16,refunded,3824.33
100036,1007,2025-01-19,shipped,2531.88
100037,1040,2023-12-03,refunded,4402.64
100039,1021,2024-08-27,refunded,2430.23
100040,1003,2023-08-24,completed,5593.24
100041,1017,2024-04-07,cancelled,1900.94
100042,1009,2025-03-24,completed,7206.98
100043,1024,2025-03-19,completed,1868.71
100044,1047,2025-07-20,cancelled,3158.53
100045,1011,2024-06-20,pending,618.54
100046,1030,2025-01-30,cancelled,3791.43
100047,1013,2023-02-21,shipped,3551.11
100048,1015,2024-03-29,completed,1161.64
100049,1018,2025-08-08,completed,1423.23
100050,1032,2023-08-27,completed,4052.31
100051,1005,2024-09-15,completed,2968.78
100052,1048,2023-10-05,pending,1595.76
100053,1011,2025-05-08,cancelled,332.04
100054,1015,2025-04-29,completed,2123.04
100055,1041,2025-04-15,completed,747.26
100057,1002,2024-03-20,pending,4137.32
100058,1030,2025-01-12,cancelled,2317.86
100059,1027,2025-01-04,pending,263.29
100060,1003,2023-09-08,completed,3342.67
100061,1027,2023-02-13,refunded,1732.76
100062,1010,2023-09-15,completed,1043.04
100063,1011,2024-02-29,completed,2358.78
100064,1045,2024-04-22,refunded,1774.47
100065,1041,2023-01-06,refunded,2955.24
100066,1008,2023-09-24,completed,3843.99
100067,1016,2023-08-14,refunded,4121.33
100068,1046,2023-01-31,refunded,2631.57
100069,1025,2024-10-25,completed,2052.86
100070,1021,2023-09-17,pending,382.88
100071,1004,2023-05-11,pending,525.46
100072,1011,2025-11-17,completed,1968.38
100073,1013,2024-03-29,completed,4448.76
100074,1043,2025-12-03,pending,2060.62
100075,1027,2023-03-05,pending,3899.37
100076,1017,2025-05-23,completed,4953.41
100077,1028,2025-06-27,completed,869.92
100078,1028,2023-10-31,completed,3742.32
100079,1048,2024-10-27,shipped,1560.04
100080,1006,2025-07-18,shipped,1883.7
100081,1015,2023-08-23,cancelled,2023.42
100082,1001,2024-03-16,pending,2974.07
100083,1045,2025-04-27,refunded,2679.08
100084,1020,2025-05-01,completed,2078.44
100086,1016,2024-10-02,completed,735.04
100087,1017,2023-11-09,pending,2065.1
100089,1029,2023-06-24,pending,329.78
100090,1032,2025-02-02,shipped,1392.32
100091,1016,2024-11-06,completed,3937.7
100092,1020,2025-05-16,completed,4569.5
100093,1046,2024-10-01,completed,974.16
100094,1033,2024-03-11,cancelled,4457.91
100095,1046,2023-08-10,refunded,2604.79
100096,1022,2023-08-24,completed,731.3
100097,1009,2025-05-28,refunded,2789.35
100098,1012,2023-02-23,cancelled,455.0
100099,1025,2024-07-01,completed,2980.31
100100,1045,2024-09-24,completed,4876.83
100101,1010,2023-10-21,cancelled,2774.84
100102,1021,2023-10-18,cancelled,1081.64
100103,1021,2023-07-07,shipped,2510.76
100104,1003,2025-05-09,completed,2537.99
100105,1020,2024-09-30,completed,757.9
100106,1027,2023-06-23,completed,2924.89
100107,1017,2023-04-12,completed,4543.12
100108,1005,2025-05-18,shipped,6941.27
100109,1037,2024-07-13,refunded,557.01
100110,1001,2024-12-07,completed,2687.4
100111,1007,2025-09-23,cancelled,2953.4
100112,1049,2024-03-27,shipped,2292.04
100113,1043,2024-02-23,completed,4616.1
100114,1042,2024-06-07,completed,541.51
100115,1021,2025-10-15,pending,1540.58
100116,1008,2025-02-17,cancelled,3957.85
100117,1028,2024-12-26,pending,1586.79
100118,1001,2023-03-28,completed,2328.64
100119,1044,2023-06-09,shipped,1872.43
100120,1019,2025-04-08,cancelled,2377.12
100121,1049,2023-08-24,completed,2071.08
100122,1013,2023-12-18,pending,5720.71
100123,1029,2025-01-11,pending,1247.4
100124,1001,2024-05-13,shipped,3055.76
100125,1049,2023-06-11,refunded,1863.51
100126,1038,2024-11-26,completed,3154.2
100127,1006,2023-06-06,cancelled,1507.26
100128,1036,2025-11-10,refunded,3576.47
100129,1039,2023-10-30,completed,1962.64
100130,1035,2024-02-09,shipped,1601.19
100131,1035,2023-06-04,refunded,715.24
100132,1022,2025-08-08,shipped,4047.51
